0,1,2,3,4,5,6
Bread,Wine,Eggs,Meat,Cheese,Pencil,Diaper
Bread,Cheese,Meat,Diaper,Wine,Milk,Pencil
Cheese,Meat,Eggs,Milk,Wine,,
Cheese,Meat,Eggs,Milk,Wine,,
Meat,Pencil,Wine,,,,
Eggs,Bread,Wine,Pencil,Milk,Diaper,Bagel
Wine,Pencil,Eggs,Cheese,,,
Bagel,Bread,Milk,Pencil,Diaper,,
Bread,Diaper,Cheese,Milk,Wine,Eggs,
Bagel,Wine,Diaper,Meat,Pencil,Eggs,Cheese
Cheese,Meat,Eggs,Milk,Wine,,
Bagel,Eggs,Meat,Bread,Diaper,Wine,Milk
Bread,Diaper,Pencil,Bagel,Meat,,
Bagel,Cheese,Milk,Meat,,,
Bread,,,,,,
Pencil,Diaper,Bagel,,,,
Meat,Bagel,Bread,,,,
Bread,Bagel,Milk,,,,
Diaper,,,,,,
Bagel,Cheese,Meat,Bread,Diaper,Eggs,
Meat,Pencil,Cheese,Bread,,,
Cheese,Eggs,Wine,Bread,Milk,Pencil,Meat
Eggs,Bagel,Cheese,Meat,Diaper,,
Diaper,Wine,Eggs,Pencil,Meat,,
Diaper,Meat,Milk,Bread,Bagel,Cheese,
Pencil,,,,,,
Cheese,Meat,Eggs,Milk,Wine,,
Diaper,Meat,Bread,Pencil,Wine,Cheese,Milk
Bread,Bagel,,,,,
Meat,Bread,Eggs,Cheese,Milk,Diaper,
Diaper,Meat,,,,,
Cheese,Bagel,Bread,Diaper,Wine,,
Cheese,Milk,Bread,,,,
Bread,Bagel,Milk,,,,
Diaper,Bread,Wine,Meat,Bagel,,
Bread,Cheese,Milk,Wine,Diaper,,
Bread,Bagel,Milk,,,,
Bread,Bagel,Milk,,,,
Eggs,,,,,,
Bread,Bagel,Milk,,,,
Bread,Bagel,Milk,,,,
Meat,,,,,,
Eggs,Wine,Milk,Cheese,Pencil,Bagel,Bread
Bagel,Eggs,,,,,
Diaper,Wine,Meat,,,,
Diaper,Bread,Bagel,Eggs,Wine,Milk,Cheese
Cheese,Meat,Eggs,Milk,,,
Eggs,Wine,,,,,
Cheese,Meat,Eggs,Milk,Wine,,

